VP_ID,Month,วันที่,เลขที่เอกสาร,ชื่อ-นามสกุล,หมายเลขห้องพัก,ประเภทห้อง,ที่อยู่,หมายเลขบัตรประชาชน,เบอร์ติดต่อ,มูลค่าสินค้า/บริการ,จำนวนเงินภาษี,รวม,
VP1899,ตุลาคม 2568,23/10/2068,10/67,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1900,ตุลาคม 2568,23/10/2068,10/68,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1901,ตุลาคม 2568,23/10/2068,10/69,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1902,ตุลาคม 2568,24/10/2068,10/70,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1903,ตุลาคม 2568,24/10/2068,10/71,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1904,ตุลาคม 2568,24/10/2068,10/72,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1905,ตุลาคม 2568,25/10/2068,10/73,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1906,ตุลาคม 2568,25/10/2068,10/74,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1907,ตุลาคม 2568,25/10/2068,10/75,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1908,ตุลาคม 2568,26/10/2068,10/76,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1909,ตุลาคม 2568,26/10/2068,10/77,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1910,ตุลาคม 2568,26/10/2068,10/78,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1911,ตุลาคม 2568,27/10/2068,10/79,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1912,ตุลาคม 2568,27/10/2068,10/80,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1913,ตุลาคม 2568,27/10/2068,10/81,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1914,ตุลาคม 2568,28/10/2068,10/82,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1915,ตุลาคม 2568,28/10/2068,10/83,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1916,ตุลาคม 2568,28/10/2068,10/84,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1917,ตุลาคม 2568,29/10/2068,10/85,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1918,ตุลาคม 2568,29/10/2068,10/86,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1919,ตุลาคม 2568,29/10/2068,10/87,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1920,ตุลาคม 2568,30/10/2068,10/88,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1921,ตุลาคม 2568,30/10/2068,10/89,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1922,ตุลาคม 2568,30/10/2068,10/90,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1923,ตุลาคม 2568,31/10/2068,10/91,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1924,ตุลาคม 2568,31/10/2068,10/92,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1925,ตุลาคม 2568,31/10/2068,10/93,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1926,ตุลาคม 2568,31/10/2068,10/94,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1927,ตุลาคม 2568,31/10/2068,10/95,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1928,ตุลาคม 2568,31/10/2068,10/96,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1929,ตุลาคม 2568,31/10/2068,10/97,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1930,ตุลาคม 2568,31/10/2068,10/98,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1931,ตุลาคม 2568,31/10/2068,10/99,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1932,ตุลาคม 2568,31/10/2068,10/100,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
