บัญชีผู้เข้าพักและรายละเอียดในการเรียกเก็บค่าธรรมเนียมบำรุงองค์การบริหารส่วนจังหวัด,,,,,,         แบบ อบจ. รร.6,,,,,ราคาห้องพัก (บาท),จำนวนห้อง,รวมเป็นเงิน (บาท),ค่าธรรมเนียม (บาท)
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,,,,,,
,,,        (..................................................................),,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
236,,,,,฿0,฿0,,,,,,,,
237,,,,,฿0,฿0,,,,,,,,
238,,,,,฿0,฿0,,,,,,,,
239,,,,,฿0,฿0,,,,,,,,
240,,,,,฿0,฿0,,,,,,,,
241,,,,,฿0,฿0,,,,,,,,
242,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,,,,,,
,,,        (..................................................................),,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
251,,,,,฿0,฿0,,,,,,,,
